code,individual,species,date_planted,treatment,germinated,date_germinated
A,284061,cyperus,4/19/2016,control,1,5/1/2016
A,284061,cyperus,4/19/2016,control,1,5/6/2016
A,284061,cyperus,4/19/2016,control,1,5/1/2016
A,284061,cyperus,4/19/2016,control,1,5/1/2016
A,284061,cyperus,4/19/2016,control,1,5/1/2016
A,284061,cyperus,4/19/2016,control,1,5/1/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/1/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/4/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/6/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/1/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/6/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/1/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/2/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/2/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/4/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/4/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/1/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/5/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/4/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/2/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/10/2016
A,284061,cyperus,4/19/2016,scatcontrol,1,5/13/2016
A,284061,cyperus,4/19/2016,scatcontrol,0,
A,284061,cyperus,4/19/2016,scatcontrol,0,
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,4/29/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/4/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/4/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/1/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/6/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/5/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/4/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/2/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/4/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/9/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/14/2016
A,284061,cyperus,4/19/2016,scattreatment,1,5/19/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,4/29/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/4/2016
A,284061,cyperus,4/19/2016,treatment,1,4/29/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/1/2016
A,284061,cyperus,4/19/2016,treatment,1,5/13/2016
A,284061,cyperus,4/19/2016,treatment,0,
A,284061,cyperus,4/19/2016,treatment,0,
A,284061,cyperus,4/19/2016,treatment,0,
A,284061,physalis,4/20/2016,control,1,5/1/2016
A,284061,physalis,4/20/2016,control,1,5/1/2016
A,284061,physalis,4/20/2016,control,1,4/29/2016
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,1,5/1/2016
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,control,0,
A,284061,physalis,4/20/2016,scatcontrol,0,
A,284061,physalis,4/20/2016,scatcontrol,1,5/2/2016
A,284061,physalis,4/20/2016,scatcontrol,1,5/16/2016
A,284061,physalis,4/20/2016,scatcontrol,1,5/2/2016
A,284061,physalis,4/20/2016,scatcontrol,1,5/5/2016
A,284061,physalis,4/20/2016,scatcontrol,1,5/4/2016
A,284061,physalis,4/20/2016,scatcontrol,0,
A,284061,physalis,4/20/2016,scatcontrol,1,5/5/2016
A,284061,physalis,4/20/2016,scatcontrol,0,
A,284061,physalis,4/20/2016,scatcontrol,1,5/9/2016
A,284061,physalis,4/20/2016,scatcontrol,1,5/5/2016
A,284061,physalis,4/20/2016,scatcontrol,1,5/4/2016
A,284061,physalis,4/20/2016,scattreatment,1,5/5/2016
A,284061,physalis,4/20/2016,scattreatment,1,5/9/2016
A,284061,physalis,4/20/2016,scattreatment,1,5/7/2016
A,284061,physalis,4/20/2016,scattreatment,1,5/3/2016
A,284061,physalis,4/20/2016,scattreatment,1,5/5/2016
A,284061,physalis,4/20/2016,scattreatment,1,5/1/2016
A,284061,physalis,4/20/2016,scattreatment,0,
A,284061,physalis,4/20/2016,scattreatment,0,
A,284061,physalis,4/20/2016,scattreatment,1,5/6/2016
A,284061,physalis,4/20/2016,scattreatment,1,6/5/2016
A,284061,physalis,4/20/2016,scattreatment,0,
A,284061,physalis,4/20/2016,scattreatment,0,
A,284061,physalis,4/20/2016,treatment,0,
A,284061,physalis,4/20/2016,treatment,1,5/4/2016
A,284061,physalis,4/20/2016,treatment,0,
A,284061,physalis,4/20/2016,treatment,1,5/9/2016
A,284061,physalis,4/20/2016,treatment,1,5/1/2016
A,284061,physalis,4/20/2016,treatment,1,5/1/2016
A,284061,physalis,4/20/2016,treatment,1,4/29/2016
A,284061,physalis,4/20/2016,treatment,1,5/18/2016
A,284061,physalis,4/20/2016,treatment,1,5/9/2016
A,284061,physalis,4/20/2016,treatment,1,5/4/2016
