individual,individual,species,date_eaten,date_excreted,recovered
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
B,616114,cataranthus,11/18/15,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
C,284061,cataranthus,3/1/16,,0
D,A73789572,cataranthus,8/30/16,10/16/16,1
D,A73789572,cataranthus,8/30/16,10/16/16,1
D,A73789572,cataranthus,8/30/16,10/16/16,1
