tortoise,species,passage,scat,successes,total
A,catros,gutpassage,noscat,1,3
B,catros,gutpassage,noscat,2,5
C,catros,gutpassage,noscat,2,5
D,catros,gutpassage,noscat,2,5
E,catros,gutpassage,noscat,4,8
F,catros,gutpassage,noscat,7,11
G,catros,gutpassage,noscat,6,10
A,catros,gutpassage,yesscat,2,4
B,catros,gutpassage,yesscat,4,6
C,catros,gutpassage,yesscat,3,4
D,catros,gutpassage,yesscat,3,5
E,catros,gutpassage,yesscat,6,8
F,catros,gutpassage,yesscat,8,10
G,catros,gutpassage,yesscat,8,9
A,catros,nogutpassage,noscat,2,4
B,catros,nogutpassage,noscat,3,6
C,catros,nogutpassage,noscat,3,5
D,catros,nogutpassage,noscat,3,5
E,catros,nogutpassage,noscat,5,8
F,catros,nogutpassage,noscat,7,11
G,catros,nogutpassage,noscat,6,9
A,catros,nogutpassage,yesscat,2,3
B,catros,nogutpassage,yesscat,3,5
C,catros,nogutpassage,yesscat,3,4
D,catros,nogutpassage,yesscat,3,4
E,catros,nogutpassage,yesscat,6,8
F,catros,nogutpassage,yesscat,9,11
G,catros,nogutpassage,yesscat,7,9
A,cyperus,gutpassage,noscat,6,7
B,cyperus,gutpassage,noscat,8,9
C,cyperus,gutpassage,noscat,8,9
D,cyperus,gutpassage,noscat,8,10
E,cyperus,gutpassage,noscat,9,10
F,cyperus,gutpassage,noscat,10,12
G,cyperus,gutpassage,noscat,15,18
A,cyperus,gutpassage,yesscat,6,7
B,cyperus,gutpassage,yesscat,7,8
C,cyperus,gutpassage,yesscat,7,9
D,cyperus,gutpassage,yesscat,8,10
E,cyperus,gutpassage,yesscat,9,10
F,cyperus,gutpassage,yesscat,12,15
G,cyperus,gutpassage,yesscat,15,18
A,cyperus,nogutpassage,noscat,5,6
B,cyperus,nogutpassage,noscat,5,7
C,cyperus,nogutpassage,noscat,6,6
D,cyperus,nogutpassage,noscat,6,7
E,cyperus,nogutpassage,noscat,7,8
F,cyperus,nogutpassage,noscat,9,10
G,cyperus,nogutpassage,noscat,12,12
A,cyperus,nogutpassage,yesscat,4,7
B,cyperus,nogutpassage,yesscat,4,7
C,cyperus,nogutpassage,yesscat,6,10
D,cyperus,nogutpassage,yesscat,7,9
E,cyperus,nogutpassage,yesscat,7,8
F,cyperus,nogutpassage,yesscat,8,9
G,cyperus,nogutpassage,yesscat,8,9
A,eustachys,gutpassage,noscat,2,4
B,eustachys,gutpassage,noscat,1,3
