tortoise,species,passage,scat,days
A,catros,gutpassage,noscat,5
B,catros,gutpassage,noscat,9
C,catros,gutpassage,noscat,7
D,catros,gutpassage,noscat,8
E,catros,gutpassage,noscat,6
F,catros,gutpassage,noscat,4
G,catros,gutpassage,noscat,7
A,catros,gutpassage,yesscat,6
B,catros,gutpassage,yesscat,4
C,catros,gutpassage,yesscat,8
D,catros,gutpassage,yesscat,7
E,catros,gutpassage,yesscat,8
F,catros,gutpassage,yesscat,4
G,catros,gutpassage,yesscat,6
A,catros,nogutpassage,noscat,9
B,catros,nogutpassage,noscat,10
C,catros,nogutpassage,noscat,11
D,catros,nogutpassage,noscat,6
E,catros,nogutpassage,noscat,16
F,catros,nogutpassage,noscat,12
G,catros,nogutpassage,noscat,12
A,catros,nogutpassage,yesscat,10
B,catros,nogutpassage,yesscat,8
C,catros,nogutpassage,yesscat,7
D,catros,nogutpassage,yesscat,11
E,catros,nogutpassage,yesscat,15
F,catros,nogutpassage,yesscat,11
G,catros,nogutpassage,yesscat,4
A,cyperus,gutpassage,noscat,12.73333
B,cyperus,gutpassage,noscat,8.94
C,cyperus,gutpassage,noscat,9.75
D,cyperus,gutpassage,noscat,10.46
E,cyperus,gutpassage,noscat,11.795
F,cyperus,gutpassage,noscat,13.64
G,cyperus,gutpassage,noscat,12.88
A,cyperus,gutpassage,yesscat,15.27778
B,cyperus,gutpassage,yesscat,11.64
C,cyperus,gutpassage,yesscat,12.11111
D,cyperus,gutpassage,yesscat,13.46
E,cyperus,gutpassage,yesscat,9.836
F,cyperus,gutpassage,yesscat,8.6
G,cyperus,gutpassage,yesscat,7.4
A,cyperus,nogutpassage,noscat,12.83333
B,cyperus,nogutpassage,noscat,12.08333
C,cyperus,nogutpassage,noscat,11.125
D,cyperus,nogutpassage,noscat,9.654
E,cyperus,nogutpassage,noscat,13.05
F,cyperus,nogutpassage,noscat,10.268
G,cyperus,nogutpassage,noscat,9.895
A,cyperus,nogutpassage,yesscat,15.125
B,cyperus,nogutpassage,yesscat,16.072
C,cyperus,nogutpassage,yesscat,8.714286
D,cyperus,nogutpassage,yesscat,10.865
E,cyperus,nogutpassage,yesscat,11.5
F,cyperus,nogutpassage,yesscat,9.63
G,cyperus,nogutpassage,yesscat,9.6
A,eustachys,gutpassage,noscat,11.4
B,eustachys,gutpassage,noscat,12.5
C,eustachys,gutpassage,noscat,13.69
D,eustachys,gutpassage,noscat,9.7
E,eustachys,gutpassage,noscat,10.69
F,eustachys,gutpassage,noscat,12.81
G,eustachys,gutpassage,noscat,14.97
A,eustachys,gutpassage,yesscat,13.4
B,eustachys,gutpassage,yesscat,21
C,eustachys,gutpassage,yesscat,12.76
D,eustachys,gutpassage,yesscat,11.64
E,eustachys,gutpassage,yesscat,9.83
F,eustachys,gutpassage,yesscat,13.58
G,eustachys,gutpassage,yesscat,10.1
A,eustachys,nogutpassage,noscat,8.4
B,eustachys,nogutpassage,noscat,10.8
C,eustachys,nogutpassage,noscat,9.7
D,eustachys,nogutpassage,noscat,10.6
E,eustachys,nogutpassage,noscat,11.4
F,eustachys,nogutpassage,noscat,13.8
G,eustachys,nogutpassage,noscat,10.7
A,eustachys,nogutpassage,yesscat,11.4
B,eustachys,nogutpassage,yesscat,12.66667
C,eustachys,nogutpassage,yesscat,13.27
D,eustachys,nogutpassage,yesscat,10.94
E,eustachys,nogutpassage,yesscat,11.68
F,eustachys,nogutpassage,yesscat,13.14
G,eustachys,nogutpassage,yesscat,9.8
A,Fcymosa,gutpassage,noscat,12.5
B,Fcymosa,gutpassage,noscat,13
C,Fcymosa,gutpassage,noscat,13.33
D,Fcymosa,gutpassage,noscat,12.9
E,Fcymosa,gutpassage,noscat,11.29
F,Fcymosa,gutpassage,noscat,14.68
G,Fcymosa,gutpassage,noscat,10.14
A,Fcymosa,gutpassage,yesscat,20.12
B,Fcymosa,gutpassage,yesscat,22.12
C,Fcymosa,gutpassage,yesscat,19.4
D,Fcymosa,gutpassage,yesscat,18.6
E,Fcymosa,gutpassage,yesscat,17.9
F,Fcymosa,gutpassage,yesscat,18.6
G,Fcymosa,gutpassage,yesscat,19.71
A,Fcymosa,nogutpassage,noscat,8.1
B,Fcymosa,nogutpassage,noscat,7.9
C,Fcymosa,nogutpassage,noscat,9.2
D,Fcymosa,nogutpassage,noscat,9.8
E,Fcymosa,nogutpassage,noscat,10.1
F,Fcymosa,nogutpassage,noscat,9.56
G,Fcymosa,nogutpassage,noscat,8.4
A,Fcymosa,nogutpassage,yesscat,11.8
B,Fcymosa,nogutpassage,yesscat,10.6
C,Fcymosa,nogutpassage,yesscat,12.5
D,Fcymosa,nogutpassage,yesscat,10.4
E,Fcymosa,nogutpassage,yesscat,11.7
F,Fcymosa,nogutpassage,yesscat,13.1
G,Fcymosa,nogutpassage,yesscat,12.8
A,opuntia,gutpassage,noscat,15.4
B,opuntia,gutpassage,noscat,14
C,opuntia,gutpassage,noscat,12
D,opuntia,gutpassage,noscat,16
E,opuntia,gutpassage,noscat,13.4
F,opuntia,gutpassage,noscat,14.1
G,opuntia,gutpassage,noscat,16
A,opuntia,gutpassage,yesscat,12
B,opuntia,gutpassage,yesscat,11.4
C,opuntia,gutpassage,yesscat,13.6
D,opuntia,gutpassage,yesscat,10.7
E,opuntia,gutpassage,yesscat,9.1
F,opuntia,gutpassage,yesscat,9.5
G,opuntia,gutpassage,yesscat,10
A,opuntia,nogutpassage,noscat,18
B,opuntia,nogutpassage,noscat,20
C,opuntia,nogutpassage,noscat,22
D,opuntia,nogutpassage,noscat,16
E,opuntia,nogutpassage,noscat,17
F,opuntia,nogutpassage,noscat,16.4
G,opuntia,nogutpassage,noscat,19
A,opuntia,nogutpassage,yesscat,18
B,opuntia,nogutpassage,yesscat,16
C,opuntia,nogutpassage,yesscat,22
D,opuntia,nogutpassage,yesscat,16
E,opuntia,nogutpassage,yesscat,17
F,opuntia,nogutpassage,yesscat,16.4
G,opuntia,nogutpassage,yesscat,19
A,physalis,gutpassage,noscat,15.77778
B,physalis,gutpassage,noscat,12.57
C,physalis,gutpassage,noscat,13.96
D,physalis,gutpassage,noscat,12.97
E,physalis,gutpassage,noscat,14.77
F,physalis,gutpassage,noscat,13.33
G,physalis,gutpassage,noscat,14.2
A,physalis,gutpassage,yesscat,10.5
B,physalis,gutpassage,yesscat,10.1
C,physalis,gutpassage,yesscat,9.8
D,physalis,gutpassage,yesscat,8.7
E,physalis,gutpassage,yesscat,12.2
F,physalis,gutpassage,yesscat,11.1
G,physalis,gutpassage,yesscat,19.86
A,physalis,nogutpassage,noscat,18.9
B,physalis,nogutpassage,noscat,19.42
C,physalis,nogutpassage,noscat,18.1
D,physalis,nogutpassage,noscat,20.22
E,physalis,nogutpassage,noscat,17.43
F,physalis,nogutpassage,noscat,17.54
G,physalis,nogutpassage,noscat,16.99
A,physalis,nogutpassage,yesscat,14.4
B,physalis,nogutpassage,yesscat,15.6
C,physalis,nogutpassage,yesscat,14
D,physalis,nogutpassage,yesscat,13.4
E,physalis,nogutpassage,yesscat,12.99
F,physalis,nogutpassage,yesscat,14.3
G,physalis,nogutpassage,yesscat,13.78
A,sjam,gutpassage,noscat,
B,sjam,gutpassage,noscat,
C,sjam,gutpassage,noscat,
D,sjam,gutpassage,noscat,
E,sjam,gutpassage,noscat,
F,sjam,gutpassage,noscat,
G,sjam,gutpassage,noscat,
A,sjam,gutpassage,yesscat,
B,sjam,gutpassage,yesscat,
C,sjam,gutpassage,yesscat,
D,sjam,gutpassage,yesscat,
E,sjam,gutpassage,yesscat,
F,sjam,gutpassage,yesscat,
G,sjam,gutpassage,yesscat,
A,sjam,nogutpassage,noscat,11.2
B,sjam,nogutpassage,noscat,10.66667
C,sjam,nogutpassage,noscat,12.2
D,sjam,nogutpassage,noscat,14.51
E,sjam,nogutpassage,noscat,10.99
F,sjam,nogutpassage,noscat,11.1
G,sjam,nogutpassage,noscat,10.6
A,sjam,nogutpassage,yesscat,13.6
B,sjam,nogutpassage,yesscat,12.8
C,sjam,nogutpassage,yesscat,10.99
D,sjam,nogutpassage,yesscat,10.45
E,sjam,nogutpassage,yesscat,11.36
F,sjam,nogutpassage,yesscat,11.87
G,sjam,nogutpassage,yesscat,11.44
A,waltheria,gutpassage,noscat,
B,waltheria,gutpassage,noscat,
C,waltheria,gutpassage,noscat,
D,waltheria,gutpassage,noscat,
E,waltheria,gutpassage,noscat,
F,waltheria,gutpassage,noscat,
G,waltheria,gutpassage,noscat,
A,waltheria,gutpassage,yesscat,
B,waltheria,gutpassage,yesscat,
C,waltheria,gutpassage,yesscat,
D,waltheria,gutpassage,yesscat,
E,waltheria,gutpassage,yesscat,
F,waltheria,gutpassage,yesscat,
G,waltheria,gutpassage,yesscat,
A,waltheria,nogutpassage,noscat,36.4
B,waltheria,nogutpassage,noscat,30.3
C,waltheria,nogutpassage,noscat,40.9
D,waltheria,nogutpassage,noscat,45.8
E,waltheria,nogutpassage,noscat,50.97
F,waltheria,nogutpassage,noscat,36.8
G,waltheria,nogutpassage,noscat,41.8
A,waltheria,nogutpassage,yesscat,49.8
B,waltheria,nogutpassage,yesscat,30
C,waltheria,nogutpassage,yesscat,28.4
D,waltheria,nogutpassage,yesscat,36.5
E,waltheria,nogutpassage,yesscat,31.8
F,waltheria,nogutpassage,yesscat,37.4
G,waltheria,nogutpassage,yesscat,42.9
